"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subNum","cond","timeStamp","experiment","completed","responses","phase","key_press","stimulus_a","stimulus_b","whichLeft","list","trialType","stimType","cvCond","wfCond","stimulus"
"2399","consent.html","html","0","2440","0.0-0.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","","","","","","","","","","","",""
"1277","","survey-text","1","4723","0.0-1.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","{""Q0"":"""",""Q1"":"""",""Q2"":""""}","demographics","","","","","","","","","",""
"760","","text","2","6486","0.0-2.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","","","32","","","","","","","","",""
"285","","text","3","7774","0.0-3.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","","","32","","","","","","","","",""
"412","","text","4","9190","0.0-4.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","","","32","","","","","","","","",""
"-1","","study-pair","5","10698","0.0-5.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","","study","-1","colony","temperature","2","3","target","4","2","1",""
"-1","","study-pair","6","11456","0.0-6.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","","study","-1","invitation","apron","1","3","target","3","1","2",""
"-1","","study-pair","7","12212","0.0-7.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","","study","-1","knowledge","strength","2","3","target","2","1","1",""
"-1","","study-pair","8","12971","0.0-8.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","","study","-1","dirt","wealth","2","3","target","2","1","1",""
"-1","","study-pair","9","13729","0.0-9.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","","study","-1","today","protection","2","3","target","2","1","1",""
"-1","","study-pair","10","14483","0.0-10.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","","study","-1","education","professor","2","3","target","4","2","1",""
"-1","","study-pair","11","15239","0.0-11.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","","study","-1","christmas","equator","2","3","target","4","2","1",""
"-1","","study-pair","12","15995","0.0-12.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","","study","-1","caesar","electromagnet","1","3","target","5","2","2",""
"-1","","study-pair","13","16748","0.0-13.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","","study","-1","plasma","carnival","1","3","target","5","2","2",""
"-1","","study-pair","14","17500","0.0-14.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","","study","-1","hour","enemy","2","3","target","2","1","1",""
"-1","","study-pair","15","18258","0.0-15.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","","study","-1","china","gravity","2","3","target","4","2","1",""
"-1","","study-pair","16","19013","0.0-16.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","","study","-1","priority","pickup","1","3","target","3","1","2",""
"-1","","study-pair","17","19769","0.0-17.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","","study","-1","quantum","penicillin","1","3","target","5","2","2",""
"-1","","study-pair","18","20526","0.0-18.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","","study","-1","embryo","glacier","1","3","target","5","2","2",""
"-1","","study-pair","19","21280","0.0-19.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","","study","-1","cupboard","underside","1","3","target","3","1","2",""
"-1","","study-pair","20","22036","0.0-20.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","","study","-1","convenience","driveway","1","3","target","3","1","2",""
"801","","text","21","23093","0.0-21.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","","","32","","","","","","","","",""
"-1","","study-word","22","24597","0.0-22.0-0.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","","distractor","-1","","","","","","","","","7"
"-1","","study-word","23","25353","0.0-23.0-0.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","","distractor","-1","","","","","","","","","8"
"-1","","study-word","24","26107","0.0-24.0-0.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","","distractor","-1","","","","","","","","","1"
"-1","","study-word","25","26863","0.0-25.0-0.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","","distractor","-1","","","","","","","","","8"
"-1","","study-word","26","27616","0.0-26.0-0.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","","distractor","-1","","","","","","","","","7"
"-1","","study-word","27","28371","0.0-27.0-0.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","","distractor","-1","","","","","","","","","2"
"-1","","study-word","28","29125","0.0-28.0-0.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","","distractor","-1","","","","","","","","","2"
"1838","","survey-text","29","31216","0.0-29.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","{""Q0"":""""}","distractor","","","","","","","","","",""
"409","","text","30","32628","0.0-30.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","","distractor","32","","","","","","","","",""
"517","","text","31","34148","0.0-31.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","","","32","","","","","","","","",""
"1112","","study-word","32","36268","0.0-32.0-0.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","","test","81","","","","3","foil","4","2","1","climate"
"298","","study-word","33","36820","0.0-33.0-0.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","","test","81","","","","3","foil","5","2","2","immunity"
"175","","study-word","34","37252","0.0-34.0-0.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","","test","80","","","","3","target","3","1","2","invitation"
"171","","study-word","35","37676","0.0-35.0-0.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","","test","81","","","","3","target","4","2","1","china"
"220","","study-word","36","38148","0.0-36.0-0.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","","test","81","","","","3","foil","2","1","1","nature"
"188","","study-word","37","38588","0.0-37.0-0.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","","test","81","","","","3","foil","4","2","1","tube"
"162","","study-word","38","39004","0.0-38.0-0.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","","test","80","","","","3","target","2","1","1","hour"
"140","","study-word","39","39396","0.0-39.0-0.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","","test","81","","","","3","target","2","1","1","knowledge"
"227","","study-word","40","39876","0.0-40.0-0.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","","test","80","","","","3","target","5","2","2","quantum"
"203","","study-word","41","40332","0.0-41.0-0.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","","test","80","","","","3","foil","5","2","2","radiator"
"171","","study-word","42","40756","0.0-42.0-0.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","","test","81","","","","3","foil","3","1","2","philosopher"
"132","","study-word","43","41140","0.0-43.0-0.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","","test","80","","","","3","target","4","2","1","christmas"
"124","","study-word","44","41515","0.0-44.0-0.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","","test","81","","","","3","target","5","2","2","plasma"
"185","","study-word","45","41955","0.0-45.0-0.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","","test","81","","","","3","foil","2","1","1","defense"
"164","","study-word","46","42371","0.0-46.0-0.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","","test","80","","","","3","foil","3","1","2","realm"
"211","","study-word","47","42835","0.0-47.0-0.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","","test","81","","","","3","target","3","1","2","cupboard"
"2277","","survey-text","48","45369","0.0-48.0","999","1","Thu, 31 Mar 2016 19:00:44 GMT","WF&CV_NoEncodingTask","true","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":""""}","environment","","","","","","","","","",""
